,Name,Matches,Runs,Batting Average,Wicket,Bowling Average
0,Abdul Samad,9,169,42.25,0,
1,Abhishek Sharma,11,226,20.55,2,62.00
2,M A Agarwal,10,270,27.00,0,
3,K K Ahmed,9,0,,9,33.44
4,Akash Deep,2,17,17.00,1,59.00
5,Akash Singh,6,0,,5,37.60
6,M M Ali,15,124,17.71,9,21.67
7,Aman Hakim Khan,11,110,13.75,0,
8,Anmolpreet Singh,4,105,26.25,0,
9,Anuj Rawat,9,91,30.33,0,
10,J C Archer,5,4,,2,95.00
11,V G Arora,5,3,,5,29.20
12,Arshdeep Singh,14,2,,17,29.00
13,M Ashwin,2,0,,0,
14,R Ashwin,13,67,11.17,14,26.29
15,K M Asif,4,0,0.00,3,46.00
16,Avesh Khan,9,0,,8,35.38
17,A Badoni,15,238,23.80,0,
18,P A Basith,1,1,,0,
19,J P Behrendorff,12,6,,14,27.64
20,T A Boult,10,16,16.00,13,24.00
21,M G Bracewell,5,58,29.00,6,15.83
22,G Brar,1,0,,0,
23,H C Brook,11,190,21.11,0,
24,J C Buttler,14,392,28.00,0,
25,Y S Chahal,14,0,,21,20.57
26,D L Chahar,10,1,,13,22.85
27,R D Chahar,14,0,0.00,8,48.13
28,P P Chawla,16,25,12.50,22,22.50
29,D P Conway,16,672,51.69,0,
30,S M Curran,14,276,27.60,10,48.90
31,M J Dagar,3,0,,1,83.00
32,T H David,16,231,25.67,0,
33,Y Dayal,5,0,,2,82.50
34,Q de Kock,4,143,35.75,0,
35,P W H de Silva,8,33,16.50,9,28.67
36,T U Deshpande,16,0,,21,26.86
37,R Dhawan,6,20,10.00,1,60.00
38,S Dhawan,11,373,41.44,0,
39,M S Dhoni,16,104,26.00,0,
40,Y V Dhull,4,16,5.33,0,
41,F du Plessis,14,730,56.15,0,
42,S Dube,16,418,38.00,0,
43,P Dubey,1,16,16.00,1,19.00
44,N Ellis,10,1,0.50,13,26.08
45,Fazalhaq Farooqi,4,1,,4,29.25
