,Player,Matches,Innings,Runs,Batting Average,Batting Strike Rate
0,Shubman Gill GT,17,17,890,59.33,157.80
1,Faf Du Plessis RCB,14,14,730,56.15,153.68
2,Devon Conway CSK,16,15,672,51.69,139.70
3,Virat Kohli RCB,14,14,639,53.25,139.82
4,Yashasvi Jaiswal RR,14,14,625,48.08,163.61
5,Suryakumar Yadav MI,16,16,605,43.21,181.13
6,Ruturaj Gaikwad CSK,16,15,590,42.14,147.50
7,David Warner DC,14,14,516,36.86,131.63
8,Rinku Singh KKR,14,14,474,59.25,149.52
9,Ishan Kishan MI,15,15,454,30.27,142.76
10,Cameron Green MI,16,16,452,50.22,160.28
11,Heinrich Klaasen SRH,12,11,448,49.78,177.07
12,Shivam Dube CSK,16,14,418,38.00,158.33
13,Nitish Rana KKR,14,14,413,31.77,140.95
14,Marcus Stoinis LSG,15,15,408,31.38,150.00
15,Venkatesh Iyer KKR,14,14,404,28.86,145.84
16,Glenn Maxwell RCB,14,14,400,33.33,183.48
17,Jos Buttler RR,14,14,392,28.00,139.00
18,Kyle Mayers LSG,13,13,379,29.15,144.10
19,Shikhar Dhawan PBKS,11,11,373,41.44,142.91
20,Wriddhiman Saha GT,17,17,371,23.19,129.26
21,Sanju Samson RR,14,14,362,30.17,153.38
22,Sai Sudharsan GT,8,8,362,51.71,141.40
23,Nicholas Pooran LSG,15,15,358,29.83,172.94
24,Simran Singh PBKS,14,14,358,25.57,150.42
25,Hardik Pandya GT,16,15,346,31.45,136.75
26,Tilak Varma MI,11,11,343,42.88,164.11
27,Rohit Sharma MI,16,16,332,20.75,132.80
28,Ajinkya Rahane CSK,14,11,326,32.60,172.48
29,Jitesh Sharma PBKS,14,14,309,23.77,156.06
30,Vijay Shankar GT,14,10,301,37.63,160.10
31,Shimron Hetmyer RR,14,13,300,37.50,152.28
32,Jason Roy KKR,8,8,285,35.63,151.59
33,Axar Patel DC,14,13,283,28.30,139.40
34,Liam Livingstone PBKS,9,9,279,34.88,163.15
35,Sam Curran PBKS,14,13,276,27.60,135.96
36,K L Rahul LSG,9,9,274,34.25,113.22
37,Rahul Tripathi SRH,13,13,273,22.75,128.16
38,Mayank Agarwal SRH,10,10,270,27.00,128.57
39,Devdutt Padikkal RR,11,11,261,26.10,130.50
40,David Miller GT,16,13,259,32.38,145.50
41,Aiden Markram SRH,13,13,248,22.55,125.88
42,Nehal Wadera MI,14,10,241,26.78,145.18
43,Ayush Badoni LSG,15,12,238,23.80,138.37
44,Tim David MI,16,15,231,25.67,158.21
45,Andre Russell KKR,14,14,227,20.64,145.51
46,Rahmanullah Gurbaz KKR,11,11,227,20.64,133.52
47,Abhishek Sharma SRH,11,11,226,20.55,143.94
48,Phil Salt DC,9,9,218,27.25,163.90
49,Rilee Rossouw DC,9,9,209,29.86,148.22
50,Ravindra Jadeja CSK,16,12,190,23.75,142.85
51,Harry Brook SRH,11,11,190,21.11,123.37
52,Krunal Pandya LSG,15,14,188,18.80,113.93
53,Atharva Taide PBKS,7,7,186,26.57,144.18
54,Abdul Samad SRH,9,8,169,42.25,132.03
55,Manish Pandey DC,10,9,160,17.78,109.58
56,Ambati Rayudu CSK,16,12,158,15.80,139.82
57,Shahrukh Khan PBKS,14,13,156,22.29,165.95
58,Dhruv Jurel RR,13,11,152,21.71,172.72
59,Quinton De Kock LSG,4,4,143,35.75,140.19
60,Dinesh Karthik RCB,13,13,140,11.67,134.61
61,Sikandar Raza PBKS,7,7,139,27.80,141.83
62,Mahipal Lomror RCB,12,10,135,16.88,139.17
63,Rashid Khan GT,17,9,130,32.50,216.66
64,Mitchell Marsh DC,9,9,128,14.22,131.95
