,Player,Matches,Innings,Overs Bowled,Wickets,Bowling Average,Economy,Bowling Strike Rate
0,Mohammed Shami (GT),17,17,65.0,28,18.64,8.03,13.92
1,MM Sharma (GT),14,14,44.1,27,13.37,8.17,9.81
2,Rashid Khan (GT),17,17,67.0,27,20.44,8.23,14.88
3,PP Chawla (MI),16,16,61.0,22,22.50,8.11,16.63
4,YS Chahal (RR),14,14,52.5,21,20.57,8.17,15.09
5,TU Deshpande (CSK),16,16,56.5,21,26.85,9.92,16.23
6,CV Varun (KKR),14,14,52.4,20,21.45,8.14,15.80
7,RA Jadeja (CSK),16,16,57.0,20,21.55,7.56,17.10
8,M Pathirana (CSK),12,12,46.2,19,19.52,8.00,14.63
9,Mohammed Siraj (RCB),14,14,50.0,19,19.73,7.50,15.78
10,Arshdeep Singh (PBKS),14,14,50.5,17,29.00,9.69,17.94
11,Noor Ahmad (GT),13,13,47.1,16,23.06,7.82,17.68
12,Ravi Bishnoi (LSG),15,14,50.3,16,24.43,7.74,18.93
13,B Kumar (SRH),14,14,51.0,16,26.56,8.33,19.12
14,A Madhwal (MI),8,8,25.3,14,15.64,8.58,10.92
15,R Ashwin (RR),13,13,49.0,14,26.28,7.51,21.00
16,JP Behrendorff (MI),12,12,42.0,14,27.64,9.21,18.00
17,HV Patel (RCB),14,13,47.0,14,32.42,9.65,20.14
18,Yash Thakur (LSG),9,9,31.5,13,22.23,9.07,14.69
19,DL Chahar (CSK),10,10,34.0,13,22.84,8.73,15.69
20,TA Boult (RR),10,10,38.0,13,24.00,8.21,17.53
21,NT Ellis (PBKS),10,10,38.0,13,26.07,8.92,17.53
22,MR Marsh (DC),9,8,20.1,12,14.16,8.42,10.08
23,M Markande (SRH),10,10,38.0,12,25.00,7.89,19.00
24,MA Wood (LSG),4,4,16.0,11,11.81,8.12,8.72
25,Naveen-ul-Haq (LSG),8,7,28.0,11,19.90,7.82,15.27
26,AR Patel (DC),14,13,47.0,11,30.72,7.19,25.63
27,SP Narine (KKR),14,14,48.0,11,34.81,7.97,26.18
28,M Theekshana (CSK),13,13,49.0,11,35.63,8.00,26.72
29,I Sharma (DC),8,8,25.0,10,20.60,8.24,15.00
30,KV Sharma (RCB),7,7,21.3,10,22.30,10.37,12.90
31,M Jansen (SRH),8,8,27.0,10,26.70,9.88,16.20
32,Suyash Sharma (KKR),11,11,39.0,10,32.10,8.23,23.40
33,Kuldeep Yadav (DC),14,14,49.0,10,36.10,7.36,29.40
34,A Nortje (DC),10,10,40.0,10,36.40,9.10,24.00
35,Sandeep Sharma (RR),12,12,46.0,10,39.60,8.60,27.60
36,T Natarajan (SRH),12,12,45.0,10,41.00,9.11,27.00
37,SM Curran (PBKS),14,14,47.5,10,48.90,10.22,28.70
38,MM Ali (CSK),15,11,26.0,9,21.66,7.50,17.33
39,Harpreet Brar (PBKS),13,11,27.1,9,24.22,8.02,18.11
40,WD Parnell (RCB),7,7,25.1,9,26.22,9.37,16.77
41,V Vyshak (RCB),7,7,24.0,9,28.11,10.54,16.00
42,PWH de Silva (RCB),8,8,29.0,9,28.66,8.89,19.33
43,KK Ahmed (DC),9,9,33.0,9,33.44,9.12,22.00
